CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
876721468,07/06/2016,09:00:00,01/31/2017,09:00:00,10/11/2018,109,GRAND LARCENY,402,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,1,INSIDE,RESIDENCE - APT. HOUSE,,,"982,855","197,460",40.708666949000076,-74.00503310099998,"(40.708666949000076, -74.00503310099998)"
198407287,07/08/2016,18:00:00,07/09/2016,00:00:00,09/27/2018,104,RAPE,157,RAPE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,OTHER,,,"988,353","217,918",40.764818269000045,-73.98518977299993,"(40.764818269000045, -73.98518977299993)"
434726643,07/10/2016,12:00:00,04/18/2018,12:00:00,05/02/2018,109,GRAND LARCENY,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,RESIDENCE - APT. HOUSE,,,"997,805","222,252",40.776704532000046,-73.95105967099995,"(40.776704532000046, -73.95105967099995)"
392433753,07/10/2016,21:00:00,07/10/2018,21:00:00,08/10/2018,104,RAPE,157,RAPE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,22,FRONT OF,OTHER,CENTRAL PARK,,"994,010","224,718",40.783478055000046,-73.96475834099994,"(40.783478055000046, -73.96475834099994)"
759384254,07/15/2016,00:00:00,07/18/2016,23:59:00,08/07/2018,109,GRAND LARCENY,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,MAILBOX INSIDE,,,"1,005,426","254,690",40.86572268100008,-73.92344088699997,"(40.86572268100008, -73.92344088699997)"
473395811,07/18/2016,00:00:00,07/28/2018,23:59:00,08/27/2018,341,PETIT LARCENY,305,"LARCENY,PETIT BY CREDIT CARD U",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,32,INSIDE,RESIDENCE - PUBLIC HOUSING,,,"1,001,743","240,361",40.826401859000036,-73.93679392799999,"(40.826401859000036, -73.93679392799999)"
501279711,07/26/2016,11:22:00,,,02/20/2018,121,CRIMINAL MISCHIEF & RELATED OF,273,"TAMPERING 1,CRIMINAL",COMPLETED,FELONY,N.Y. TRANSIT POLICE,MANHATTAN,23,,TRANSIT - NYC SUBWAY,,,"999,643","228,852",40.79481676000006,-73.94440825399995,"(40.79481676000006, -73.94440825399995)"
236960258,08/01/2016,09:00:00,,,01/29/2018,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,RESIDENCE - APT. HOUSE,,,"989,866","208,688",40.739483420000056,-73.97973560799994,"(40.739483420000056, -73.97973560799994)"
733645152,08/01/2016,12:00:00,02/18/2018,17:00:00,02/21/2018,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,23,,RESIDENCE - APT. HOUSE,,,"1,000,142","225,685",40.78612331400007,-73.94261356399994,"(40.78612331400007, -73.94261356399994)"
562074073,08/01/2016,12:00:00,06/30/2017,12:00:00,04/04/2018,109,GRAND LARCENY,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,RESIDENCE - APT. HOUSE,,,"989,145","210,412",40.74421580000006,-73.98233614599997,"(40.74421580000006, -73.98233614599997)"
759996985,08/05/2016,02:30:00,08/05/2018,02:33:00,08/05/2018,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,24,INSIDE,DRUG STORE,,,"993,575","228,739",40.794515091000044,-73.96632353299998,"(40.794515091000044, -73.96632353299998)"
360215727,08/06/2016,02:54:00,08/06/2018,03:11:00,08/06/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,RESIDENCE - APT. HOUSE,,,"992,869","216,627",40.76127155700004,-73.96888883799994,"(40.76127155700004, -73.96888883799994)"
470111000,08/08/2016,13:30:00,,,08/08/2018,109,GRAND LARCENY,404,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,18,,STREET,,,"985,168","217,281",40.76307077200005,-73.99668759099995,"(40.76307077200005, -73.99668759099995)"
491159932,08/11/2016,08:00:00,10/17/2016,08:00:00,04/28/2018,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",ATTEMPTED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,24,INSIDE,RESIDENCE - APT. HOUSE,,,"993,373","229,301",40.79605784000006,-73.96705230699997,"(40.79605784000006, -73.96705230699997)"
641463662,08/13/2016,12:00:00,12/27/2017,08:56:00,01/08/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,1,INSIDE,RESIDENCE - APT. HOUSE,,,"980,219","197,152",40.70782075300008,-74.01454076299996,"(40.70782075300008, -74.01454076299996)"
358351963,08/15/2016,13:00:00,10/15/2016,15:00:00,03/13/2018,109,GRAND LARCENY,402,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,RESIDENCE - APT. HOUSE,,,"996,001","223,898",40.78122494900003,-73.95757032599995,"(40.78122494900003, -73.95757032599995)"
854738311,08/16/2016,17:35:00,08/16/2018,17:40:00,08/16/2018,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,CLOTHING/BOUTIQUE,,,"990,503","215,519",40.758232371000084,-73.97743058499998,"(40.758232371000084, -73.97743058499998)"
